Precinct,Location,Address
300,Sampson Elementary School,"16002 Coles Crossing Drive, at Coles Crossing North Drive,Cypress, 77429-6981"
301,Red Bluff Elementary School,"416 Bearle Street, at Red Bluff Road, Pasadena, 77506-3098"
302,Deepwater Elementary School,"309 Glenmore Drive, at Albemarkle Drive, Pasadena,77503-1518"
303,The Vosswood,"815 South Voss Road, at Buffalo Bayou, Houston, 77057-1031"
304,Herod Elementary School,"5627 Jason Street, at Mullins Drive, Houston, 77096-2110"
305,Lone Star College Cypress Center,"19710 Clay Road, near North Fry Road, Katy, 77449"
306,Clear Lake High School,"2929 Bay Area Boulevard, at Krueger Way, Houston, 77058"
307,City of Nassau Bay Council Chamber,"1800 Space Park Drive No 200, at Saturn Lane, NassauBay, 77058-3508"
308,Courtyard by Marriott Houston Hobby,"9190 Gulf Freeway, at Tallyho Road, Houston, 77017-7009"
309,South Transition Campus,"11339 Britoak Lane, near Yorkchester Drive, Houston,77079-3446"
310,Northbrook Middle School,"3030 Rosefield Drive, at Kemp Forest Drive, Houston,77080-2610"
311,Ed White Elementary School,"9001 Triola Lane, at Jorine Drive, Houston, 77036-6147"
312,Mark White Elementary School,"2515 Old Farm Road, near Woodway Drive, Houston, 77063"
313,Courtyard Houston Brookhollow,"2504 North Loop West, near T C Jester Boulevard, Houston,77092"
314,Jan Hansen Aragon Middle School,"16823 West Road, at Queenston Street, Houston, 77095-5503"
315,Elrod Elementary School,"6230 Dumfries Drive, At Bob White Drive, Houston, 77096-4603"
316,Pilgrim Lutheran Church Narthex,"8601 Chimney Rock Road, at Beechnut Street, Houston,77096-1399"
317,Godwin Park Community Center,"5101 Rutherglenn Drive, at Balmforth Lane, Houston, 77096"
318,Hobby Elementary School,"4021 Woodmont Drive, at White Heather Drive, Houston,77045-3515"
319,Hiram Clarke Multi Service Center,"3810 West Fuqua Street, at Buffalo Speedway, Houston,77045-6402"
320,Woodland Lodge No 1157,"8337 Sweetwater Lane, at Canino Road, Houston, 77037-3615"
321,Melrose Park Community Center,"1001 Canino Road, at Downey Street, Houston, 77076-1218"
322,Northwest Church of Christ,"6720 West Tidwell Road, Near Bingle Road, Houston,77092-1436"
323,Courtyard Houston Brookhollow,"2504 North Loop West, near T C Jester Boulevard, Houston,77092"
324,Durham Elementary School,"4803 Brinkman Street, at Candlelight Lane, Houston, 77018-2021"
325,High School Ahead Academy,"5320 Yale Street, at West Donovan Street, Houston, 77091-5730"
326,Armandina Farias Early Childhood Center,"515 Rittenhouse Street, at Nordling Road, Houston, 77076"
327,Wesley Elementary School,"800 Dillard Street, at DePriest Street, Houston, 77091-2301"
328,Saint Frances Cabrini Catholic Community Parish Hall,"10727 Hartsook Street, at Tarbell Road, Houston, 77034-3597"
329,W I Stevenson Middle School,"9595 Winkler Drive, at Old Galveston Road, Houston,77017-5921"
330,Buffalo Creek Elementary School,"2801 Blalock Road, at Kempwood Drive, Houston, 77080-2822"
331,Katy Junior High School,"5350 Franz Road, at Katy Hockley Cut Off Road, Katy,77493-1747"
332,Jean Hines Caldwell Elementary School,"5515 West Orem Drive, at Croquet Lane, Houston, 77085"
333,Evelyn Meador Branch Library,"2400 Meyer Road, at El Mar Street, Seabrook, 77586-2964"
334,Ramada Inn,"6115 Will Clayton Parkway, at Kenswick Drive, Humble,77338-8127"
335,Jane Long Academy Middle School,"6501 Bellaire Boulevard, at Rookin Street, Houston, 77074-6428"
336,Houston Sports Park,"12211 Kirby Drive, at Mowery Road, Houston, 77045"
337,Fondren Elementary School,"12405 Carlsbad Street, at West Orem Drive, Houston,77085-1224"
338,Alexander Elementary School,"8500 Brookwulf Drive, at Beechnut Street, Houston, 77072-3837"
339,Looscan Elementary School,"3800 Robertson Street, at Shelby Street, Houston, 77009-4959"
340,Woodland Hills Elementary School,"2222 Tree Lane, near Woodland Hills Drive, Kingwood,77339"
341,Burbank Elementary School,"216 Tidwell Road, at Bauman Road, Houston, 77022-2046"
342,Calvert Elementary School,"1925 Marvell Drive, at Waverly Drive, Houston, 77032-2085"
343,Houston Federation of Teachers,"2704 Sutherland Street, near Carrolton Street, Houston,77023-5399"
344,Greater Emmanuel Family Worship Center,"3915 Kelley Street, at Sayers Street, Houston, 77026-1411"
345,Sylvan Rodriguez Jr Elementary School,"5858 Chimney Rock Road, Enter on Glenmont Street,Houston, 77081-2715"
346,Deer Park Junior High School,"410 East 9th Street, near Columbia Street, Deer Park,77536"
347,Vincent Miller Intermediate School,"1002 Fairmont Parkway, at Fox Meadow, Pasadena, 77504-2999"
348,Pasadena First Church of the Nazarene,"3610 Watters Road, at Vista Road, Pasadena, 77504-2398"
349,Heritage Park Baptist Church,"2732 FM 528 Road, at Plymouth Colony Drive, Webster,77598-4502"
350,The Rice School,"7550 Seuss Drive, at North Braeswood Boulevard, Houston,77025-2271"
351,Pine Forest Elementary School,"19702 West Lake Houston Parkway, at Wild Violet Drive,Humble, 77346-2000"
352,San Jacinto College Central Campus Library,"8060 Spencer Highway, at Cunningham Street, Pasadena,77505-5999"
353,Purple Sage Elementary School,"6500 Purple Sage Road, at Edenglen Drive, Houston,77049-3800"
354,Kenneth J Tice Elementary School,"14120 Wallisville Road, at Normandy Drive, Houston,77049-4031"
355,James H Law Elementary School,"12401 South Coast Drive, at Orem Drive, Houston, 77047-2736"
356,Walnut Bend Elementary School,"10620 Briar Forest Drive, at Citywest Boulevard, Houston,77042-2320"
357,Hidden Hollow Elementary School,"4104 Appalachian Trail, at Rock Springs Drive, Kingwood,77345-1099"
358,Richard and Kitty Spence Elementary School,"1300 Gears Road, at Greensmark Drive, Houston, 77067-4204"
359,Betty Roberts Best Elementary School,"10000 Centre Parkway, at Sugar Branch Drive, Houston,77036-8200"
360,La Quinta Inn Houston Greenway,"4015 Southwest Freeway, at Westpark Drive, Houston,77027-7401"
361,Rice Memorial Center,"Rice University Entrance 20, at Rice Boulevard, Houston,77005"
362,Creekstone Community Clubhouse,"22002 Eagle Meadow Drive, at Grand Junction Drive, Katy,77450"
363,Whispering Pines Elementary School,"17321 Woodland Hills Drive, at Wells Mark Drive, Humble,77346-3001"
364,Willie B Ermel Elementary School,"7103 Woodsman Trail, at Rosslyn Street, Houston, 77040-1839"
365,Saint Pius the Tenth High School,"811 West Donovan Street, at North Shepherd Drive,Houston, 77091-5643"
366,Gloria B Sammons Elementary School,"2301 Frick Road, at Veterans Memorial Road, Houston,77038-1701"
367,Burrus Elementary School,"701 East 33rd Street, at Bacchus Street, Houston, 77022-5101"
368,Galena Park ISD Administration Building,"14705 Woodforest Boulevard, at East Sam HoustonParkway North, Houston, 77015-3231"
369,Leonel J Castillo Community Center,"2101 South Street, at Henry Street, Houston, 77009-8039"
370,Goodson Middle School,"17333 Huffmeister Road, at Cypress Fields Road, Cypress,77429-6403"
371,Faith Christian Center,"10118 Tidwell Road, near Brock Park Boulevard, Houston,77078-3702"
372,Southmeadow Property Owners Clubhouse,"12002 Fairmeadow Drive, at Southmeadow Drive, Houston,77071-2504"
373,Kashmere MultiService Center,"4802 Lockwood Drive, at Rand Road, Houston, 77026-2941"
374,Knights of Columbus Hall Council 5077,"5309 Oates Road, at Oak Brook Drive, Houston, 77013-2850"
375,Felix L Baldree Building,"13828 Corpus Christi Street, at Freeport Street, Houston,77015-3912"
376,Royalwood Elementary School,"7715 Royalwood Drive, at Elderberry Lane, Houston, 77049-2314"
377,Bayshore Elementary School,"800 McCabe Road, at Highway 146, La Porte, 77571-6717"
378,Forest Bend Civic Building,"4300 Laura Leigh Lane, at Townes Road, Friendswood,77546-4168"
379,Bellfort Church of Christ,"6606 Bellfort Street, at Northdale Street, Houston, 77087-6410"
380,Deussen Park Senior Center,"12303 Sonnier Street, at North Lake Houston Parkway,Houston, 77044-7208"
381,Alice Johnson Junior High School,"15500 Proctor Street, at Ashland Boulevard, Channelview,77530-2697"
382,Sheldon Elementary School,"17203 Hall Shepperd Road, at Lamkin Road, Houston,77049-1049"
383,Carverdale Park Community Center,"9920 Porto Rico Road, at Sweetbay Lane, Houston, 77041-7536"
384,Riceville Mount Olive Baptist Church,"11539 South Gessner Road, near McGee Lane, Houston,77071-2209"
385,Memorial Drive Christian Church,"11750 Memorial Drive, at Sandalwood Drive, Houston,77024-7298"
386,George H Gentry Junior High School,"1919 East Archer Road, at Sjolander Road, Baytown,77521-9310"
387,Highlands Elementary School GCCISD,"200 East Wallisville Road, at FM 2100, Highlands, 77562-3896"
388,Humble Middle School,"11207 Will Clayton Parkway, at Woodland Hills Drive,Humble, 77346-3005"
389,University of Houston Recreation and Wellness Center,"4500 University Dr Houston, at UH University Drive,Houston, 77004"
390,Wheeler Avenue Baptist Church Fellowship Hall,"3826 Wheeler Avenue, at Scott Street, Houston, 77004-2604"
391,City of Houston Fire Station 72,"17401 Saturn Lane, at 2nd Street, Houston, 77058-2298"
392,Living Faith Baptist Church,"4310 Holloway Drive, at Rubin Street, Houston, 77047-1119"
393,Clear Lake Church of the Nazarene,"14310 Galveston Road, near Clear Lake City Boulvard,Webster, 77598"
394,Pasadena High School,"206 South Shaver Street, at Eagle Avenue, Pasadena,77506-2016"
395,Ashford Elementary School,"1815 Shannon Valley Drive, at Whittington Drive, Houston,77077-4901"
396,Scenic Woods Regional Library,"10677 Homestead Road, at Little York Road, Houston,77016"
397,1st Baptist Church North Houston,"4422 Lauder Road, at John F Kennedy Boulevard, Houston,77039-3599"
398,Horne Elementary School,"14950 West Little York Road, at Addicks Satsuma Road,Houston, 77084-1598"
399,Memorial Hills Clubhouse,"2225 Briarcreek Boulevard, at FM 1960, Houston, 77073-1511"
400,HC Precinct 3 Transportation Bus Barn,"17423 Katy Freeway, at Barker Cypress Road, Houston,77094-1311"
401,Lakewood Park Community Center,"8811 Feland Street, at East Houston Street, Houston,77028-2016"
402,Robert L Frost Elementary School,"5002 Almeda Genoa Road, at Hendrickson Street, Houston,77048-4725"
403,Westbury Baptist Church,"10425 Hillcroft Street, at Willowbend Boulevard, Houston,77096-4798"
404,Mae Smythe Elementary School,"2202 Pasadena Boulevard, at Burke Road, Pasadena,77502-3127"
405,Salyards Middle School,"21757 Fairfield Place Drive, at Medley Green Drive,Cypress, 77433-3196"
406,Kashmere MultiService Center,"4802 Lockwood Drive, at Rand Road, Houston, 77026-2941"
407,John Knox Presbyterian Church,"2525 Gessner Road, at Brigade Street, Houston, 77080-3800"
408,Little York Volunteer Fire Station 81,"10410 Airline Drive, at Holtman Street, Houston, 77037-1304"
409,Pep Mueller County Park Clubhouse,"14750 Henry Road, at Pear Street, Houston, 77060-5625"
410,Holiday Inn Houston Intercontinental,"15222 John F Kennedy Boulevard, at North Sam HoustonEast Parkway, Houston, 77032-2306"
411,Mary Walke Stephens Elementary School,"2402 Aldine Mail Route Road, at Russ Street, Houston,77039-5510"
412,Julia C Hester House,"2020 Solo Street, at Rawley Street, Houston, 77020-4224"
413,North Shore Elementary School,"14310 Duncannon Drive, at Barbara Mae Street, Houston,77015-2514"
414,Cedar Bayou Junior School,"2610 Elvinta Street, at Cedar Bayou Road, Baytown, 77520-3826"
415,G W Robinson Elementary School,"451 Kirby Road, near Sedberry, Seabrook, 77586"
416,Pipers Meadow Community Center,"15920 Pipers View Drive, at El Toro Street, Webster, 77598-2550"
417,Stuchbery Elementary School,"11210 Hughes Road, at Sagecreek Street, Houston, 77089-4636"
418,Beverly Hills Community Center,"10201 Kingspoint Road, at Members Street, Houston, 77075"
419,Park View Intermediate School,"3003 Dabney Drive, at Bayshore Boulevard, Pasadena,77502-5530"
420,Deer Park Community Center,"610 East San Augustine Street, at Canterbury Court, DeerPark, 77536-0700"
421,Woodcreek Middle School,"14600 Woodson Park Drive, at Summer Palmentto Drive,Houston, 77044-4492"
422,Crestmont Park Community Center,"5200 Selinsky Road, at Glenhollow Drive, Houston, 77048-1739"
423,Black Elementary School,"160 Mill Stream Lane, at Imperial Valley Drive, Houston,77060-4199"
424,Housman Elementary School,"6705 Housman Street, at Silber Road, Houston, 77055-2221"
425,Judy Bush Elementary School,"9730 Stroud Drive, at Corporate Street, Houston, 77036-5105"
426,Sharpstown International School,"8330 Triola Lane, at Mary Bates Boulevard, Houston,77036-6310"
427,Crowne Plaza Suites Houston,"9090 Southwest Freeway, at Commerce Park Drive,Houston, 77074-1503"
428,Houston Community College Alief Center,"13803 Bissonnet Street, at Keegans Wood Drive, Houston,77083-5916"
429,Mildred Rickard Landis Elementary School,"10255 Spice Lane, at Course Drive, Houston, 77072-5035"
430,Jane Long Academy Middle School,"6501 Bellaire Boulevard, at Rookin Street, Houston, 77074-6428"
431,Burnett Bayland Community Center,"6200 Chimney Rock Drive, at Gulfton Street, Houston,77081-4001"
432,Pilgrim Academy,"6302 Skyline Drive, at West Greenridge Drive, Houston,77057-6902"
433,Piney Point Elementary School,"8921 Pagewood Lane, at Fondren Road, Houston, 77063-5543"
434,Hampton Inn Galleria,"4500 Post Oak Parkway, at West Loop, Houston, 77027-3419"
435,Village of Tanglewood,"1600 Augusta Drive, at San Felipe Street, Houston, 77057"
436,Tanglewood Middle School,"5215 San Felipe Street, at Sage Road, Houston, 77056-3605"
437,Nottingham Elementary School,"570 Nottingham Oaks Trail, at Cindywood Drive, Houston,77079-6399"
438,SBISD Technology Training Center,"14330 Memorial Drive, at Fern Street, Houston, 77079-6704"
439,Memorial Middle School,"12550 Vindon Drive, at Attingham Drive, Houston, 77024-4130"
440,Bunker Hill Elementary School,"11950 Taylorcrest Road, at Strey Street, Houston, 77024-4399"
441,Spring Branch Middle School,"1000 Piney Point Road, at Katy Freeway, Houston, 77024-2796"
442,Saint Marys Episcopal Church,"15415 North Eldridge Parkway, at Louetta Road, Cypress,77429-2005"
443,Trini Mendenhall Community Center,"1414 Wirt Road, at Shadyvilla Lane, Houston, 77055-4917"
444,Spring Woods Middle School,"9810 Neuens Road Enter 9700 Hammerly, at HammerlyBoulevard, Houston, 77080-6498"
445,Northbrook Senior High School,"1 Raider Circle South, at Campbell Street, Houston, 77080-3995"
446,Quality Inn and Suites Hwy 290 Brookhollow,"12439 Northwest Freeway, near Bingle Road, Houston,77092"
447,Eagle Spring Elementary School,"12500 Will Clayton Parkway, near Eagle Springs Parkway,Humble, 77346-3006"
448,Black Middle School,"1575 Chantilly Lane, at West 43rd Street, Houston, 77018-4150"
449,Nimitz High School,"2005 W W Thorne Boulevard, at Hardy Street, Houston,77073-3301"
450,Josie Ruth Smith Academy,"5815 West Little York Road, at Antoine Street, Houston,77091-1199"
451,Yeager Elementary School,"13615 Champion Forest Drive, at Bermuda Dunes Drive,Houston, 77069-1899"
452,Zwink Elementary School,"22200 Frassati Way Drive, at Spring Stuebner Road, Spring,77389-1417"
453,Westbury Senior High School,"11911 Chimney Rock Road, Houston, 77035"
454,Beebe Tabernacle Christian Methodist Episcopal,"7210 Langley Road, at Homestead Road, Houston, 77016-2724"
455,Restoration Square Full Gospel Baptist Cathedral,"5110 Crane Street, at Pickfair Street, Houston, 77026-3908"
456,Harris County Courthouse Annex Num 8,"701 West Baker Road, at Hugh Echoles Boulevard,Baytown, 77521-2376"
457,Ramada Inn,"6115 Will Clayton Parkway, at Kenswick Drive, Humble,77338-8127"
458,Jean Hines Caldwell Elementary School,"5515 West Orem Drive, at Croquet Lane, Houston, 77085"
459,Kingwood Community Center,"4102 Rustic Woods Drive, at West Lake Houston Parkway,Kingwood, 77345-1350"
460,North Channel Branch Library,"15741 Wallisville Road, at Carpenters Landing Way,Houston, 77049-4607"
461,West Briar Middle School,"13733 Brimhurst Drive, near Park Bayou Drive, Houston,77077"
462,Kate Bell Elementary School,"12323 Shaftsbury Drive, at Ravensworth Street, Houston,77031-3123"
463,Korean Central Presbyterian Church of Houston,"14311 Park Row Drive, at Park and Ride Drive, Houston,77084-5695"
464,Cypressdale Clubhouse,"4815 Elmbrook Drive, at Kuykendahl Road, Spring, 77388-4935"
465,Ponderosa Elementary School,"17202 Butte Creek Road, at FM 1960 Road, Houston,77090-2332"
466,Church of Christ on Bammel Road,"2604 FM 1960 Road, at Fitz Oaks Place, Houston, 77068-3299"
467,First New Hope Bible Church,"5400 West Mount Houston Road, at Moon Light Forest,Houston, 77088-1271"
468,Northcliffe Manor Community Center,"12026 West Marsham Circle, at Wirksworth Drive, Houston,77066-4439"
469,Foster Elementary School,"1800 Trailwood Village Drive, at Lake Village Drive,Kingwood, 77339"
470,Bonnette Junior High,"5010 W Pasadena Boulevard, at Wakeshire Drive, DeerPark, 77536"
471,Lomax Junior High School,"9801 North Avenue L, at Meadow Lark Lane, La Porte,77571"
472,Residence Garage,"2347 Underwood Street, at Kelving Street, Houston, 77030-3627"
473,Clear Lake Intermediate School,"15545 El Camino Real, at El Dorado Boulevard, Houston,77062"
474,Clear Brook High School,"4607 FM 2351, at Hopevillage Street, Friendswood, 77546-2823"
475,SJC South Campus Fine Arts Center Building 15,"13735 Beamer Road, Entrance B, at Rick Schnider Drive,Houston, 77089-6009"
476,Frazier Elementary School PISD,"10503 Hughes Road, at Sage Vale Street, Houston, 77089-4530"
477,Charles R Hooks Education Center Cypress Creek EMS,"7111 Five Forks Drive, at Smoothrock Falls Drive, Spring,77379-4101"
478,Saint Timothy Lutheran Church,"14225 Hargrave Road, at Charlynn Oaks Lane, Houston,77070-3843"
479,Lakewood Residents Club,"15006 Lakewood Forest Drive, at Lakeview Drive, Houston,77070-1321"
480,Adam Elementary School,"11303 Honeygrove Lane, at Maxim Street, Houston, 77065-2499"
481,Millsap Elementary School,"12424 Huffmeister Road, at Shaft Street, Cypress, 77429-3281"
482,Roth Elementary School,"21623 Castlemont Lane, at Bridgemont Lane, Spring,77388-3860"
483,Nottingham Park Building,"926 Country Place Drive, at Kimberley Drive, Houston,77079"
484,Norchester Clubhouse,"13439 Jones Road, at Norchester Village, Houston, 77070-3917"
485,Willow Creek Elementary School in Tomball ISD,"18302 North Eldridge Parkway, at Northpointe Boulevard,Tomball, 77377-8084"
486,Lakewood Elementary School,"15614 Gettysburg Drive, between Hermitage Oaks andAuburn Hills, Tomball, 77377"
487,Alief Middle School,"4415 Cook Road, at Dashwood Street, Houston, 77072-1104"
488,Holub Middle School,"9515 South Dairy Ashford Road, at Bissonnet Street,Houston, 77099-4909"
489,India House,"8888 West Bellfort Street, at Westbrae Parkway, Houston,77031-2406"
490,Creekbend Gardens Apartments,"8106 Creekbend Drive, near Braescreek Drive, Houston,77071-1547"
491,Saint George Place Elementary School,"5430 Hidalgo Street, at McCulloch Circle, Houston, 77056-6211"
492,Paul Revere Middle School,"10502 Briar Forest Drive, at West Sam Houston Parkway,Houston, 77042-2338"
493,Klenk Elementary School,"6111 Bourgeois Road, at W Richey Road, Houston, 77066-3903"
494,Hill Intermediate School,"2625 West Mount Houston Road, at Moonglow Street,Houston, 77038-3434"
495,Winchester Trails Community Clubhouse,"8925 Rio Grande Drive, between Hoot Owl Road andCopperdale Lane, Houston, 77064"
496,Frazier Elementary School CFISD,"8300 Little River Road, at West Road, Houston, 77064-7904"
497,New Beulah E Johnson Elementary School,"13901 Homestead Road, near Old Humble Road, Houston,77039"
498,Northwest Church of Christ,"6720 West Tidwell Road, Near Bingle Road, Houston,77092-1436"
499,Grace Presbyterian Church,"10221 Ella Lee Lane, at West Sam Houston Parkway,Houston, 77042-2999"
500,Spring First Church,"1851 Spring Cypress Road, at Marilyn Lane, Spring, 77388"
501,Mount Sinai Baptist Church Family Life Center,"902 West 8th Street, at Herkimer Street, Houston, 77007-1408"
502,Crosby Kindergarten Center  PreK Center North,"5910 Pecan Street, at Runneburg Road, Crosby, 77532-5866"
503,French Elementary School,"5802 West Rayford Road, at Gosling Road, Spring, 77389-2981"
504,Country Village Clubhouse,"12042 Riverview Way, at Cedar Pass Drive, Houston,77077-3036"
505,Wainwright Elementary School,"5330 Milwee Street, at Costa Rica Road, Houston, 77092-6655"
506,Fondren Park Community Building,"11802 Mclain Boulevard, at Gregory Boulevard, MissouriCity, 77071-3334"
507,Margaret Collins Elementary School,"9829 Town Park Drive, at Ranchester Street, Houston,77036-2315"
508,Chancellor Elementary School,"4350 Boone Road, at High Star Drive, Houston, 77072-1999"
509,Memorial Parkway Community Association Clubhouse,"21600 Cimarron Parkway, at Park Wind Drive, Katy, 77450-2502"
510,Tarrytowne Estates,"1815 Enclave Parkway, at Westella Street, Houston, 77077-3671"
511,Woodard Elementary School,"17501 Cypress North Houston, at Barker Cypress Road,Cypress, 77433-5246"
512,Chimney Hill Community Center,"13720 Smokey Trail Drive, at Jackrabbit Road, Houston,77041-1619"
513,Yeager Elementary School,"13615 Champion Forest Drive, at Bermuda Dunes Drive,Houston, 77069-1899"
514,Strack Intermediate School,"18027 South Kuykendahl Road, at Elmbrook Drive, Spring,77379-8199"
515,Brill Elementary School,"9102 Herts Road, at Champion Drive, Spring, 77379-6772"
516,Glorious Way Church,"11611 Champion Forest Drive, at West Richey Road,Houston, 77066-2740"
517,Lieder Elementary School,"17003 Kieth Harrow Boulevard, at Cairnvillage Street,Houston, 77084"
518,Homewood Suites by Hilton CyFair,"13110 Wortham Center Drive, at US 290, Houston, 77065-5610"
519,HCPL Northwest Library,"11355 Regency Green Drive, at Jones Road, Cypress,77429-4799"
520,Eickenroht Elementary School,"15252 Grand Point Road, at Ella Boulevard, Houston,77090-6329"
521,Lone Star College Cypress Center,"19710 Clay Road, near North Fry Road, Katy, 77449"
522,Saint Peters United Methodist Church,"20775 Kingsland Boulevard, at Shillington Drive, Katy,77450-2705"
523,Iglesia Bautista Redencion,"16155 Aspenglenn Drive, at Highway 6, Houston, 77084-3545"
524,Petrosky Elementary School,"6703 Winkleman Road, at La Paloma Street, Houston,77083-2499"
525,Milne Elementary School,"7800 Portal Drive, at Kittybrook Drive, Houston, 77071-1700"
526,Raul Yzaguirre School for Success Tejano Center BuildingB,"2950 Broadway Boulevard, at Kimble Street, Houston,77017-1794"
527,Red Bluff Elementary School,"416 Bearle Street, at Red Bluff Road, Pasadena, 77506-3098"
528,Clinton Park Community Center,"200 Mississippi Street, at Midway Street, Houston, 77029"
529,First Baptist Church of Tomball,"401 Oxford Street, at Pine Street, Tomball, 77375-4461"
530,Iglesia Fe Y Poder,"6714 Navigation Boulevard, near North 67th Street,Houston, 77011"
531,Crosby Volunteer Fire Station No 1,"2502 Highway 90, at Kennings Road, Crosby, 77532"
532,James Bowie Elementary School,"2200 Clayton Drive, at James Bowie Street, Baytown,77520-3643"
533,James Bowie Elementary School,"2200 Clayton Drive, at James Bowie Street, Baytown,77520-3643"
534,Parkgate Community Church,"3715 Preston Avenue, at Sao Paulo Street, Pasadena,77505-2012"
535,Deepwater Elementary School,"309 Glenmore Drive, at Albemarkle Drive, Pasadena,77503-1518"
536,Laura Welch Bush Elementary School,"9100 Blackhawk Boulevard, at Solcott Park, Houston,77075-2250"
537,Bella Vita Clubhouse,"1548 B North Riviera Circle, at Bellavita Street, Pearland,77581-5261"
538,Alice McKean Young Neighborhood Library,"5107 Griggs Road, at Cavanaugh Street, Houston, 77021-3715"
539,Spring Chateau,"4010 FM 2920, at Falvel Road, Spring, 77388-3229"
540,Judson Robinson Junior Community Center,"2020 Hermann Drive, at Almeda Street, Houston, 77004-7322"
541,Fiesta Mart Inc,"8130 Kirby Drive, at OST, Houston, 77054-1706"
542,Townwood Community Center,"3402 Simsbrook Drive, at Buffalo Speedway, Houston,77045-4603"
543,Herrera Elementary School,"525 Bennington Street, at Helmers Street, Houston, 77022-4911"
544,Ross Elementary School,"2819 Bay Street, at Eastex Freeway, Houston, 77026-3203"
545,HCPL Parker Williams Branch Library,"10851 Scarsdale Boulevard Suite 510, at Beamer Road,Houston, 77089-5740"
546,Riverwood Middle School,"2910 High Valley Drive, at Kingwood Drive, Kingwood,77345-1852"
547,Harris County MUD 81 Building,"805 Hidden Canyon Road, at Red River Drive, Katy, 77450-3723"
548,Windfern Senior High School,"12630 Windfern Road, at Bobcat Road, Houston, 77064-3018"
549,Link Elementary School,"2815 Ridge Hollow Drive, at Walters Road, Houston, 77067-1939"
550,The Abiding Word Lutheran Church and School,"17123 Red Oak Drive, near FM 1960, Houston, 77090-2600"
551,Hassler Elementary School,"9325 Lochlea Ridge Drive, at Gleannloch Lakes, Spring,77379-3647"
552,Northampton Elementary School,"6404 Root Road, near Wellington Court Boulevard, Klein,77389"
553,Julia W Kahla Middle School,"16212 West Little York Road, east of Queenston Boulevard,Houston, 77084-6509"
554,Braeswood Assembly of God,"10611 Fondren Road, at Creekbend Drive, Houston, 77096-5497"
555,Westbrae Court Retirement CommunityLone Star Living,"10680 Westbrae Parkway, at Ranier Drive, Houston, 77031-2448"
556,Cummings Elementary School,"10455 South Kirkwood Road, at Grove Glen Drive, Houston,77099-5018"
557,Martin Elementary School,"11718 Hendon Lane, at Belle Park, Houston, 77072-3416"
558,Heflin Elementary School,"3303 Synott Road, at Westpark Drive, Houston, 77082-4926"
559,Comfort Suites Westchase,"2830 Wilcrest Drive, at Meadowglen Lane, Houston, 77042-3340"
560,Scroggins Elementary School,"400 Boyles Street, at Laredo Street, Houston, 77020-5242"
561,La Porte Recreation and Fitness Center,"1322 South Broadway Street, South of West FairmontParkway, La Porte, 77571"
562,Restoration Square Full Gospel Baptist Cathedral,"5110 Crane Street, at Pickfair Street, Houston, 77026-3908"
563,HC Public Library Kingwood Branch,"4400 Bens View Lane, at Bens Branch Drive, Kingwood,77339-3774"
564,South Union Church of Christ,"7427 Ardmore Street, at Holly Hall Street, Houston, 77054-4201"
565,Comfort Suites Westbelt Beltway 8 near Westchase,"7707 West Sam Houston Parkway South, at ParkwoodCircle Drive, Houston, 77072-5254"
566,Sneed Elementary School,"9855 Pagewood Lane, at Wood Chase Drive, Houston,77042-5523"
567,Vietnamese Community Center,"7100 Clarewood Drive, at Southwest Freeway, Houston,77036-4402"
568,J F Ward Elementary School,"1440 Bouldercrest Drive, at Pennhills Street, Houston,77062-2247"
569,Saint George Place Elementary School,"5430 Hidalgo Street, at McCulloch Drive, Houston, 77056-6211"
570,Pin Oak Middle School,"4601 Glenmont Drive, at W Loop S, Bellaire, 77401-2328"
571,Worsham Elementary School,"3007 Hartwick Road, near Foy Lane, Houston, 77093"
572,Galleria Inn and Suites,"9041 Westheimer Road, near Fondren Road, Houston,77063-3603"
573,Greater New Testament Church,"7409 Calhoun Road, at Van Fleet Street, Houston, 77033"
574,New Mount Carmel Baptist Church,"4301 Weaver Road, at Hirsch Road, Houston, 77016-5634"
575,Klein Multipurpose Center,"7500 FM 2920, west of Alvin A Klein Drive, Spring, 77379-2204"
576,Acres Homes Multi Service Center,"6719 West Montgomery Road, at Wilburforce Street,Houston, 77091"
577,Valley Oaks Elementary School,"8390 Westview Drive, at Pech Road, Houston, 77055-6738"
578,Candlelight Park Community Center,"1520 Candlelight Lane, at Happy Hollow Street, Houston,77018-1852"
579,Rittenhouse Baptist Church,"513 West Rittenhouse Road, at Stuebner Airline Road,Houston, 77091-2404"
580,Key Middle School,"4000 Kelley Street, at Hirsch Road, Houston, 77026-1534"
581,Bethany Baptist Church Fellowship Hall,"7304 Homestead Road, at Finch Street, Houston, 77028-3027"
582,Hobart Taylor Park Community Center,"8100 Kenton Street, at Bacher Street, Houston, 77028-4632"
583,Felix Cook Junior Elementary School,"7115 Lockwood Drive, at Bennington Street, Houston,77016-7027"
584,Greater True Light Baptist Church,"6828 Annunciation Street, at Suburban Drive, Houston,77016-2115"
585,North Forest High School,"10725 Mesa Drive, at Little York Road, Houston, 77078-1401"
586,Anderson Elementary School,"6218 Lynngate Drive, at Cypresswood Drive, Spring, 77373-7356"
587,Teague Middle School,"21700 Rayford Road, at FM 1960 West, Humble, 77338-1027"
588,Winship Elementary School,"2175 Spring Creek Drive, at Aldine Westfield Road, Spring,77373-6199"
589,New Westlake Volunteer Fire Department Station,"19636 Saums Road, Near Fry Road, Houston, 77084-4732"
